,tweet,verified,created_at,location,favourites,retweets
131,เมิงงงคือเมื่อไรถึงหยุดได้อ่ะ/ศึกแห่งศักดิ์นี้จะจบยังไงอ่ะ ใครประกาศรางวัลอ่ะเจ๊ #popcat #popcatTH #popcatthailand,False,2021-08-15 13:59:23,,6,2
132,"น้ำหอมไซร์ทดลองราคาหลักร้อย มาพร้อมคูปองส่วนลด เพียงแค่แอดไลน์ @Musthavepagae
 #ม็อบ15สิงหา #นิยายไลน์เว็บตูน… https://t.co/ynx293DLZQ",False,2021-08-15 13:59:27,"กรุงเทพมหานคร, ประเทศไทย",0,1
133,ถ้าตัวเลขใน #popcat ถอนออกมาเป็นเงินได้ก็ดี55555,False,2021-08-15 13:59:28,,2,0
134,แสนนึงแล้วว #popcat https://t.co/Mt9PALuQDP,False,2021-08-15 13:59:32,,0,0
135,ไม่ใช่ว่าจะมีใครอุตริไปขอให้ #ปู่มหามุนี ไปเต้นติ๊กตอกคู่กับ #สะมายด์หยี๋ ฉลองคนไทยคว้าแชมป์ #Popcat ละ,False,2021-08-15 13:59:33,,1,0
136,ช่วยๆ 555555 #popcat,False,2021-08-15 13:59:35,,1,0
137,อย่าดูถูกชาวทวิตที่เกินกว่าครึ่งตบตีกับไทยทิกเก็ตเมเจอร์มาก่อนนะคะ #popcat,False,2021-08-15 13:59:36,"กรุงเทพมหานคร, ประเทศไทย",2,0
138,"Probably Every people supports each other but i need this time
https://t.co/Z2ToLKBmhI

#popcat #Kabul #أفغانستان… https://t.co/I81f1h9cxL",False,2021-08-15 13:59:41,Pakistan ,0,0
139,"น้ำหอมไซร์ทดลองราคาหลักร้อย มาพร้อมคูปองส่วนลด เพียงแค่แอดไลน์ @Musthavepagae
 #ม็อบ15สิงหา #นิยายไลน์เว็บตูน… https://t.co/vOszBPR7K5",False,2021-08-15 13:59:44,"กรุงเทพมหานคร, ประเทศไทย",0,1
140,@PlatformOdin #popcat #Kabul #oeabt2021 #Taliban #AfghanistanBurning,False,2021-08-15 13:59:47,,0,0
141,ด้วยเหตุผลที่อ้างว่าเศรษฐกิจตกต่ำ จากนายจ้างบางคนที่ยังต้องการตักตวงกำไรให้ได้มากที่สุดหรือแท้จริงพวกเขาอาจไม่เดือด… https://t.co/xkZ7K23E1g,False,2021-08-15 13:59:47,,1,3
142,ก็คือจำนวนpop ไทยเป็น 1/3 ของ worldwide มึงว่าสมมงที่1 ปะ5555555 #popcat,False,2021-08-15 13:59:48,,1,1
